17|04|1830 Завершен выпуск первого Полного собрания законов Российской империи|
17|04|Именины Георгий, Зосима, Иосиф|
18|04|Международный день памятников и исторических мест|
18|04|1242 День воинской славы России (победа русских воинов князя Александра Невского над немецкими рыцарями на Чудском озере; Ледовое побоище, 1242 год)|
18|04|Именины Марк, Платон, Семен, Лазарь|
19|04|Именины Евтихий, Еремей|
20|04|1942 Окончилась Московская битва (началась 30 сентября 1941 года) во время Великой Отечественной войны|
20|04|Именины Акулина, Георгий, Даниил, Нил|
21|04|Именины Нифонт, Родион, Сусанна|
22|04|Международный день Земли |
22|04|1870 Родился Владимир Ильич Ленин, первый руководитель советского государства|
22|04|Именины Вадим|
23|04|Всемирный день книг и авторского права|
23|04|Именины Александр, Максим, Терентий, Федор|
24|04|Международный день солидарности молодежи|
24|04|Именины Антип, Иван, Яков|
25|04|1901 В штате Нью-Йорк впервые в мире введены автомобильные номера|
25|04|Именины Василий, Давид, Мина|
26|04|Международный день интеллектуальной собственности|
26|04|1986 Международный день памяти жертв радиационных аварий и катастроф|
26|04|1792 Французский поэт и композитор Руже де Лиль создал революционный гимн «Марсельеза»|
27|04|Именины Антон, Ардалион, Иван, Мартын|
28|04|Всемирный день охраны труда|
28|04|Именины Анастасия, Андрей, Аристарх, Виктор|
29|04|Международный день танца |
29|04|2000 Германия передала России фрагменты подлинной Янтарной комнаты|
29|04|Именины Галина, Ирина, Леонид, Ника|
30|04|1649 День пожарной охраны|
30|04|1945 Советские воины водрузили Знамя Победы над рейхстагом в Берлине.|
30|04|1918 Основана киностудия «Ленфильм»|
30|04|Именины Александр, Зосима, Семен|
01|05|День международной солидарности трудящихся|
01|05|Праздник единства народа Казахстана|
07|05|День Защитника Отечества|
01|05|1840 В Англии появились первые в мире почтовые марки|
01|05|1918 На Ходынском поле состоялся первый военный парад Красной Армии|
01|05|Именины Антон, Виктор, Ефим, Изот, Кузьма, Феликс|
02|05|1945 Советские войска полностью овладели столицей Германии Берлином|
02|05|Именины Георгий, Иван, Никифор, Трифон|
03|05|Всемирный день свободы печати|
03|05|День Солнца|
03|05|Именины Александр, Гавриил, Григорий, Федор|
04|05|1961 В СССР принят указ об усилении борьбы с тунеядством|
04|05|Именины Денис, Евтихий, Кондрат, Федот|
05|05|Международный день борьбы за права инвалидов |
05|05|1882 День водолаза|
05|05|День шифровальщика|
05|05|В Японии отмечается Праздник мальчиков|
05|05|Именины Всеволод, Климент, Виталий, Лука, Федор|
06|05|1856 Родился Зигмунд Фрейд|
06|05|Именины Александра, Анатолий, Афанасий, Георгий|
07|05|День защитника Отечества в Казахстане|
07|05|1895 День радио|
07|05|1867 Альфред Нобель получил патент на динамит|
07|05|День создания вооруженных сил РФ |
07|05|Именины Алексей, Валентин, Елизавета, Леонтий|
08|05|1967 У Кремлевской стены на могиле Неизвестного солдата зажжен Вечный огонь|
08|05|Всемирный день Красного Креста и Красного Полумесяца|
08|05|Именины Марк|
09|05|1945 Праздник Победы советского народа в Великой Отечественной войне 1941-1945 годов.|
09|05|Именины Василий, Георгий, Глафира, Степан, Тамара, Ириней|
10|05|День книги в Германии; отмечается с 1947 года, проводится в день сожжения фашистами в 1933 году книг писателей-гуманистов|
10|05|Именины Семен, Стефан, Иосиф, Мария, Виталий|
11|05|1927 Основана Американская академия киноискусств, учредившая премию «Оскар»|
11|05|Именины Кирилл, Максим|
12|05|Международный день медицинской сестры.|
12|05|1570 В России основано Донское казачество|
12|05|Именины Василий, Иван, Федот, Филимон|
13|05|1783 День Черноморского флота|
13|05|1836 Началось строительство первой в России железной дороги|
